"date","close","open","high","low","volume","change"
"22/03/2023","4.299,40","4.299,40","4.300,72","4.222,00","","0,00"
"21/03/2023","4.299,40","4.299,40","4.299,40","4.222,00","","0,00"
"20/03/2023","4.299,40","4.222,00","4.299,43","4.222,00","","0,10"
"17/03/2023","4.295,15","4.222,00","4.296,26","4.222,00","","0,00"
"16/03/2023","4.295,15","4.345,00","4.387,61","4.222,00","","-1,15"
"15/03/2023","4.345,00","4.287,60","4.345,00","4.222,00","","1,34"
"14/03/2023","4.287,60","4.287,60","4.289,35","4.222,00","","0,00"
"13/03/2023","4.287,60","4.222,00","4.287,60","4.222,00","","0,00"
"10/03/2023","4.287,60","4.287,60","4.292,86","4.222,00","","0,00"
"09/03/2023","4.287,60","4.287,60","4.290,00","4.222,00","","0,00"
"08/03/2023","4.287,60","4.222,00","4.293,65","4.222,00","","0,00"
"07/03/2023","4.287,60","4.222,00","4.287,60","4.222,00","","0,00"
"06/03/2023","4.287,60","4.280,72","4.289,05","4.222,00","","0,00"
"03/03/2023","4.287,60","4.222,00","4.291,37","4.222,00","","0,00"
"02/03/2023","4.287,60","4.280,00","4.291,37","4.222,00","","0,00"
"01/03/2023","4.287,60","4.222,00","4.287,60","4.222,00","","0,00"
"28/02/2023","4.287,60","4.222,00","4.287,60","4.222,00","","0,00"
"27/02/2023","4.287,60","4.287,60","4.287,60","4.222,00","","0,00"
"24/02/2023","4.287,60","4.222,00","4.287,60","4.222,00","","0,41"
"23/02/2023","4.270,00","4.222,00","4.287,60","4.222,00","","-0,41"
"22/02/2023","4.287,60","4.287,61","4.287,61","4.222,00","","0,10"
"21/02/2023","4.283,32","4.222,00","4.287,61","4.222,00","","-0,10"
"20/02/2023","4.287,61","4.222,00","4.287,61","4.222,00","","0,10"
"17/02/2023","4.283,32","4.287,61","4.287,61","4.222,00","","-0,10"
"16/02/2023","4.287,61","4.222,00","4.287,61","4.222,00","","0,00"
"15/02/2023","4.287,61","4.287,43","4.287,61","4.222,00","","0,00"
"14/02/2023","4.287,43","4.305,38","4.305,38","4.222,00","","-0,42"
"13/02/2023","4.305,38","4.222,00","4.305,38","4.222,00","","0,00"
"10/02/2023","4.305,38","4.222,00","4.305,38","4.222,00","","0,11"
"09/02/2023","4.300,62","4.296,37","4.300,62","4.222,00","","0,10"
"08/02/2023","4.296,37","4.291,91","4.296,37","4.222,00","","0,10"
"07/02/2023","4.291,91","4.222,00","4.291,91","4.222,00","","0,15"
"06/02/2023","4.285,51","4.278,66","4.285,51","4.222,00","","0,16"
"03/02/2023","4.278,66","4.265,00","4.278,66","4.222,00","","0,00"
"02/02/2023","4.278,66","4.222,00","4.278,66","4.222,00","","0,00"
"01/02/2023","4.278,66","4.222,00","4.278,66","4.222,00","","0,12"
"31/01/2023","4.273,38","4.270,56","4.273,38","4.222,00","","0,07"
"30/01/2023","4.270,56","4.222,00","4.270,56","4.222,00","","0,72"
"27/01/2023","4.240,00","4.257,41","4.264,83","4.222,00","","-0,41"
"26/01/2023","4.257,41","4.257,41","4.257,41","4.222,00","","0,00"
"25/01/2023","4.257,41","4.222,00","4.258,99","4.222,00","0,02K","-1,69"
"24/01/2023","4.330,62","4.240,00","4.265,17","4.222,00","0,04K","1,82"
"23/01/2023","4.253,12","4.222,00","4.280,00","4.222,00","0,02K","-0,43"
"20/01/2023","4.271,44","4.222,00","4.295,38","4.222,00","0,02K","-0,56"
"19/01/2023","4.295,38","4.322,41","4.391,49","4.222,00","0,03K","-0,63"
"18/01/2023","4.322,41","4.359,17","4.430,00","4.320,00","0,03K","-0,84"
"17/01/2023","4.359,17","4.444,00","4.444,00","4.340,00","0,02K","-1,91"
"16/01/2023","4.444,00","4.444,00","4.475,25","4.387,61","0,01K","0,00"
"13/01/2023","4.444,00","4.476,50","4.502,69","4.417,50","0,39K","-2,08"
"12/01/2023","4.538,25","4.507,20","4.507,20","4.444,00","0,87K","-0,34"
"11/01/2023","4.553,60","4.507,20","4.507,20","4.444,00","0,69K","0,00"
"10/01/2023","4.553,60","4.488,50","4.507,20","4.444,00","1,06K","0,21"
"09/01/2023","4.544,25","4.444,00","4.491,77","4.444,00","0,68K","0,06"
